"","code","license","publisher","datasetName","year","month","day","scientificName","family","FID","date","depth","mlotst","to","so","zo","prouct_type","bathy","slope","FID.1","lon","lat"
"2235",13684,"CC_BY_NC_4_0","Institute of Marine Research",NA,2002,8,30,"Physeter macrocephalus","Physeteridae",0,"2002-08-01",0,17.5999999999999,24,36.275,0.315,"Reanalysis",1066.98840332031,0.702988386154175,0,-739.661380159467,4297.28013252233
"2236",13693,"CC_BY_NC_4_0","Institute of Marine Research",NA,2012,8,17,"Physeter macrocephalus","Physeteridae",0,"2012-08-01",0,14.5,23.011,36.352,0.19,"Reanalysis",2054.55493164062,2.40772223472595,0,-386.771986179763,4139.24003771773
"2237",13694,"CC_BY_NC_4_0","Institute of Marine Research",NA,2012,8,11,"Physeter macrocephalus","Physeteridae",0,"2012-08-01",0,14,24.363,36.47,0.258,"Reanalysis",3841.2353515625,0.293404161930084,0,-539.771489070317,3965.48455437794
"2238",13696,"CC_BY_NC_4_0","Institute of Marine Research",NA,2002,10,7,"Physeter macrocephalus","Physeteridae",0,"2002-10-01",0,32.5999999999999,19.804,36.263,0.251,"Reanalysis",678.924621582031,0.221810206770897,0,-747.638013107228,4304.23760490833
"2239",13701,"CC_BY_NC_4_0","Institute of Marine Research",NA,2012,7,30,"Physeter macrocephalus","Physeteridae",0,"2012-07-01",0,14.8999999999996,22.655,36.315,0.31,"Reanalysis",1587.34558105469,1.18845331668854,0,-807.118046980238,4301.0982016503
"2240",13702,"CC_BY_NC_4_0","Institute of Marine Research",NA,1999,7,1,"Physeter macrocephalus","Physeteridae",0,"1999-07-01",0,11.5999999999999,22.678,36.239,0.223,"Reanalysis",1769.69885253906,1.79749417304993,0,-371.073645021276,4244.56977827365
"2241",13703,"CC_BY_NC_4_0","Institute of Marine Research",NA,2002,8,11,"Physeter macrocephalus","Physeteridae",0,"2002-08-01",0,13.5,23.999,36.188,0.283,"Reanalysis",1992.43383789062,0.25776407122612,0,-728.003238237296,4451.08937877239
"2242",13704,"CC_BY_NC_4_0","Institute of Marine Research",NA,2002,8,11,"Physeter macrocephalus","Physeteridae",0,"2002-08-01",0,13.5,23.978,36.189,0.275,"Reanalysis",1992.43383789062,0.25776407122612,0,-730.244295088984,4453.73987141726
"2243",13706,"CC_BY_NC_4_0","Institute of Marine Research",NA,1999,6,24,"Physeter macrocephalus","Physeteridae",0,"1999-06-01",0,18.0999999999999,19.941,36.149,0.26,"Reanalysis",822.146118164062,1.2273530960083,0,-545.082250664482,4366.08963270567
"2244",13707,"CC_BY_NC_4_0","Institute of Marine Research",NA,2012,6,20,"Physeter macrocephalus","Physeteridae",0,"2012-06-01",0,14.6999999999998,19.084,36.182,0.236,"Reanalysis",1495.30407714844,0.314336955547333,0,-942.014557029189,4471.22154589803
"2245",13712,"CC_BY_NC_4_0","Institute of Marine Research",NA,1999,6,25,"Physeter macrocephalus","Physeteridae",0,"1999-06-01",0,16.5999999999999,19.801,36.16,0.229,"Reanalysis",1087.78930664062,1.03635990619659,0,-506.951054466277,4338.44045249421
"2246",13713,"CC_BY_NC_4_0","Institute of Marine Research",NA,2012,6,19,"Physeter macrocephalus","Physeteridae",0,"2012-06-01",0,29,18.809,36.147,0.223,"Reanalysis",803.153625488281,0.772639274597168,0,-630.441734910571,4366.57449907868
"2247",13714,"CC_BY_NC_4_0","Institute of Marine Research",NA,2012,6,20,"Physeter macrocephalus","Physeteridae",0,"2012-06-01",0,18.7999999999997,18.531,36.178,0.244,"Reanalysis",1396.37280273438,1.22640860080719,0,-917.642363858705,4495.58058213977
"2248",13716,"CC_BY_NC_4_0","Institute of Marine Research",NA,2012,6,19,"Physeter macrocephalus","Physeteridae",0,"2012-06-01",0,29,18.809,36.147,0.223,"Reanalysis",803.153625488281,0.772639274597168,0,-623.054994301803,4362.09763986116
"2249",13717,"CC_BY_NC_4_0","Institute of Marine Research",NA,1999,6,24,"Physeter macrocephalus","Physeteridae",0,"1999-06-01",0,20,20.025,36.172,0.241,"Reanalysis",1413.45617675781,0.795850098133087,0,-597.234675832584,4361.85852061943
"2250",13731,"CC_BY_NC_4_0","Institute of Marine Research",NA,2012,6,14,"Physeter macrocephalus","Physeteridae",0,"2012-06-01",0,25.0999999999999,18.242,36.132,0.24,"Reanalysis",1629.41821289062,0.688868224620819,0,-696.434935334288,4402.65621021399
"2251",13743,"CC_BY_NC_4_0","Institute of Marine Research",NA,2010,9,19,"Physeter macrocephalus","Physeteridae",0,"2010-09-01",0,22.2999999999997,22.272,36.097,0.34,"Reanalysis",705.210266113281,1.15415394306183,0,-712.230668402492,4358.23227631611
"2252",13744,"CC_BY_NC_4_0","Institute of Marine Research",NA,2010,9,19,"Physeter macrocephalus","Physeteridae",0,"2010-09-01",0,22.8999999999996,22.228,36.075,0.348,"Reanalysis",1015.11608886719,1.01805245876312,0,-682.188266737439,4373.07120812811
"2253",13753,"CC_BY_NC_4_0","Institute of Marine Research",NA,2010,6,23,"Physeter macrocephalus","Physeteridae",0,"2010-06-01",0,14.5,19.557,36.055,0.265,"Reanalysis",1692.91882324219,0.497433215379715,0,-640.585975907749,4454.66656976982
"2254",13761,"CC_BY_NC_4_0","Institute of Marine Research",NA,2010,5,15,"Physeter macrocephalus","Physeteridae",0,"2010-05-01",0,26.8999999999996,17.053,36.056,0.147,"Reanalysis",1702.51000976562,1.36091768741608,0,-452.694407278604,4265.04224930831
"2255",13762,"CC_BY_NC_4_0","Institute of Marine Research",NA,2010,5,15,"Physeter macrocephalus","Physeteridae",0,"2010-05-01",0,18.1999999999998,17.204,36.068,0.139,"Reanalysis",1935.18994140625,1.86560881137848,0,-422.605630687662,4262.67809509241
"2257",13772,"CC_BY_NC_4_0","Institute of Marine Research",NA,2010,5,15,"Physeter macrocephalus","Physeteridae",0,"2010-05-01",0,26.8999999999996,17.053,36.056,0.147,"Reanalysis",1702.51000976562,1.36091768741608,0,-455.47025805789,4264.24037676796
"2258",13788,"CC_BY_NC_4_0","Institute of Marine Research",NA,2012,7,3,"Physeter macrocephalus","Physeteridae",0,"2012-07-01",0,13.0999999999999,21.205,36.136,0.23,"Reanalysis",1851.41589355469,0.277528136968613,0,-746.06851651379,4449.42950867726
"2259",13793,"CC_BY_NC_4_0","Institute of Marine Research",NA,1999,6,23,"Physeter macrocephalus","Physeteridae",0,"1999-06-01",0,20.2999999999997,20.873,36.275,0.282,"Reanalysis",2543.52172851562,0.977132678031921,0,-705.266893207431,4217.83810579533
"2260",13794,"CC_BY_NC_4_0","Institute of Marine Research",NA,1999,6,23,"Physeter macrocephalus","Physeteridae",0,"1999-06-01",0,20.2999999999997,20.873,36.275,0.282,"Reanalysis",2543.52172851562,0.977132678031921,0,-703.482078320426,4217.57708419392
"2261",13795,"CC_BY_NC_4_0","Institute of Marine Research",NA,2012,7,6,"Physeter macrocephalus","Physeteridae",0,"2012-07-01",0,13.3999999999996,21.373,36.24,0.273,"Reanalysis",1636.28210449219,0.169568479061127,0,-901.798423083292,4415.20860081185
"2262",13796,"CC_BY_NC_4_0","Institute of Marine Research",NA,1999,6,24,"Physeter macrocephalus","Physeteridae",0,"1999-06-01",0,23.5,20.906,36.285,0.285,"Reanalysis",1580.1201171875,0.999569475650787,0,-790.123047424461,4247.90336151178
"2263",13798,"CC_BY_NC_4_0","Institute of Marine Research",NA,1999,6,22,"Physeter macrocephalus","Physeteridae",0,"1999-06-01",0,19.0999999999999,19.866,36.152,0.236,"Reanalysis",2379.07104492188,0.430254936218262,0,-597.520583610697,4391.4671067383
"2264",13801,"CC_BY_NC_4_0","Institute of Marine Research",NA,2012,6,29,"Physeter macrocephalus","Physeteridae",0,"2012-06-01",0,29,18.317,36.137,0.213,"Reanalysis",281.441497802734,0.493702799081802,0,-679.492448489564,4361.25070684259
